experiment_rna_short_read_id,analyte_id,experiment_sample_id,seq_library_prep_kit_method,library_prep_type,experiment_type,read_length,single_or_paired_ends,date_data_generation,sequencing_platform,within_site_batch_name,rin,estimated_library_size,total_reads,percent_r_rna,percent_m_rna,percent_mt_rna,percent_globin,percent_umi,5_prime_3_prime_bias,percent_gc,percent_chr_x_y
CNH_I_SQ8388,LS4339067,LS4339067_SQ8388,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2022-12-19,NovaSeq,RNA 1C,8.1,NA,1.54714367E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9302,LS4339118,LS4339118_SQ9302,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8.4,NA,2.42756051E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9303,LS4339119,LS4339119_SQ9303,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8,NA,2.08487333E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9304,LS4339136,LS4339136_SQ9304,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,7.5,NA,1.83094665E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9305,LS4339137,LS4339137_SQ9305,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,7.2,NA,1.5880976E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9306,LS4339138,LS4339138_SQ9306,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,7.8,NA,1.88873373E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9307,LS4339139,LS4339139_SQ9307,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8.2,NA,2.12508278E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9308,LS4339140,LS4339140_SQ9308,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8.3,NA,1.93317075E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9309,LS4339141,LS4339141_SQ9309,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,7.6,NA,2.23604827E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9310,LS4339142,LS4339142_SQ9310,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8,NA,2.23921419E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9311,LS4339143,LS4339143_SQ9311,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8.3,NA,1.76893089E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9312,LS4339062,LS4339062_SQ9312,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,7.5,NA,1.63569527E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9313,LS4339067,LS4339067_SQ9313,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8.1,NA,1.82591225E+08,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9314,LS4339094,LS4339094_SQ9314,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,9,NA,7.234767E+07,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9315,LS4339114,LS4339114_SQ9315,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,3.7,NA,8.2783401E+07,NA,NA,NA,NA,NA,NA,NA,NA
CNH_I_SQ9316,LS4339115,LS4339115_SQ9316,Watchmaker ribosomal and globin depletion,rRNA depletion|globin depletion,paired-end|untargeted,150,paired-end,2023-01-24,NovaSeq,RNA 1D,8.2,NA,1.59847486E+08,NA,NA,NA,NA,NA,NA,NA,NA
