id,ticket,plate,mth,well,dna_quant,lib_quant,aligned_reads
249,RT-3115,CNMC 3A,RnD,F3,24.67,4.333,371797439
250,RT-3130,CNMC 3B,RnD,F3,24.6,3.396,366720487
251,RT-3219,CNMC 3C,RnD,F3,23.8,4.127,385786751
252,RT-3230,CNMC 3D,RnD,F3,26.6,3.231,626224729
253,RT-2338,CNMC 1A,RnD,G1,24.098,9.128,430377106
254,RT-2538,CNMC 1B,RnD,G1,21.638,7.145,558559009
255,RT-2539,CNMC 1C,RnD,G1,20.828,5.632,498558601
256,RT-2575,CNMC 1D,RnD,G1,21.149,6.501,662381241
257,RT-2072,MyOme 8,RnD,G1,21.4,3.257,531649178
258,RT-2865,MyOme 9,Verso RSD,G1,49.7,4.371,560893311
259,RT-2866,MyOme 10,Verso RSD,G1,25.8,3.784,549302839
260,RT-2869,CNMC 2A,RnD,G1,55.2,3.019,495446386
261,RT-2977,CNMC 2B,RnD,G1,31.5,4.808,406014588
262,RT-2867,MyOme 11,Verso RSD,G1,43.15,3.663,731717066
263,RT-3115,CNMC 3A,RnD,G1,24.93,5.379,516614995
264,RT-3130,CNMC 3B,RnD,G1,24.7,4.788,447991338
265,RT-3219,CNMC 3C,RnD,G1,38.7,4.191,779626573
266,RT-3230,CNMC 3D,RnD,G1,23.8,4.536,543327200
267,RT-2338,CNMC 1A,RnD,G2,28.516,7.379,359434422
268,RT-2538,CNMC 1B,RnD,G2,20.98,7.503,574884545
269,RT-2539,CNMC 1C,RnD,G2,19.186,6.918,615888542
270,RT-2575,CNMC 1D,RnD,G2,20.402,5.384,510894469
271,RT-2072,MyOme 8,RnD,G2,20.3,3.135,292818600
272,RT-2865,MyOme 9,Verso RSD,G2,27.1,3.683,650321068
273,RT-2866,MyOme 10,Verso RSD,G2,14.2,2.041,705483897
274,RT-2869,CNMC 2A,RnD,G2,43.9,3.779,486686044
275,RT-2977,CNMC 2B,RnD,G2,51,4.183,540100909
276,RT-2867,MyOme 11,Verso RSD,G2,24.5,2.993,475413921
277,RT-3115,CNMC 3A,RnD,G2,22.02,5.399,362322603
278,RT-3130,CNMC 3B,RnD,G2,26.1,4.485,564575761
279,RT-3219,CNMC 3C,RnD,G2,24.4,3.722,417471664
280,RT-3230,CNMC 3D,RnD,G2,22.4,3.444,70976484
281,RT-2338,CNMC 1A,RnD,G3,18.817,4.064,55492758
282,RT-2538,CNMC 1B,RnD,G3,18.817,4.612,59628650
283,RT-2539,CNMC 1C,RnD,G3,18.817,5.492,108910807
284,RT-2575,CNMC 1D,RnD,G3,18.817,4.379,100948646
285,RT-2072,MyOme 8,RnD,G3,23.5,3.006,70830401
286,RT-2865,MyOme 9,Verso RSD,G3,23.5,3.821,53781077
287,RT-2866,MyOme 10,Verso RSD,G3,23.5,3.298,68813140
288,RT-2869,CNMC 2A,RnD,G3,,,
289,RT-2977,CNMC 2B,RnD,G3,,,
290,RT-2867,MyOme 11,Verso RSD,G3,23.5,,
291,RT-3115,CNMC 3A,RnD,G3,25.97,,
292,RT-3130,CNMC 3B,RnD,G3,22.7,,
293,RT-3219,CNMC 3C,RnD,G3,23.1,,
294,RT-3230,CNMC 3D,RnD,G3,22.4,,
295,RT-2338,CNMC 1A,RnD,H1,24.098,,
296,RT-2538,CNMC 1B,RnD,H1,21.638,,
297,RT-2539,CNMC 1C,RnD,H1,20.828,,
298,RT-2575,CNMC 1D,RnD,H1,21.149,,
299,RT-2072,MyOme 8,RnD,H1,21.4,,
300,RT-2865,MyOme 9,Verso RSD,H1,49.7,,
301,RT-2866,MyOme 10,Verso RSD,H1,25.8,,
302,RT-2869,CNMC 2A,RnD,H1,55.2,,
303,RT-2977,CNMC 2B,RnD,H1,31.5,,
304,RT-2867,MyOme 11,Verso RSD,H1,43.15,,
305,RT-3115,CNMC 3A,RnD,H1,24.93,,
306,RT-3130,CNMC 3B,RnD,H1,24.7,,
307,RT-3219,CNMC 3C,RnD,H1,38.7,,
308,RT-3230,CNMC 3D,RnD,H1,23.8,,
309,RT-2338,CNMC 1A,RnD,H2,28.516,,
310,RT-2538,CNMC 1B,RnD,H2,20.98,,
311,RT-2539,CNMC 1C,RnD,H2,19.186,,
312,RT-2575,CNMC 1D,RnD,H2,20.402,,
313,RT-2072,MyOme 8,RnD,H2,20.3,,
314,RT-2865,MyOme 9,Verso RSD,H2,27.1,,
315,RT-2866,MyOme 10,Verso RSD,H2,14.2,,
316,RT-2869,CNMC 2A,RnD,H2,43.9,,
317,RT-2977,CNMC 2B,RnD,H2,51,,
318,RT-2867,MyOme 11,Verso RSD,H2,24.5,,
319,RT-3115,CNMC 3A,RnD,H2,22.02,,
320,RT-3130,CNMC 3B,RnD,H2,26.1,,
321,RT-3219,CNMC 3C,RnD,H2,24.4,,
322,RT-3230,CNMC 3D,RnD,H2,22.4,,
323,RT-2338,CNMC 1A,RnD,H3,18.817,,
324,RT-2538,CNMC 1B,RnD,H3,18.817,,
325,RT-2539,CNMC 1C,RnD,H3,18.817,,
326,RT-2575,CNMC 1D,RnD,H3,18.817,,
327,RT-2072,MyOme 8,RnD,H3,23.5,,
328,RT-2865,MyOme 9,Verso RSD,H3,23.5,,
329,RT-2866,MyOme 10,Verso RSD,H3,23.5,,
330,RT-2869,CNMC 2A,RnD,H3,,,
331,RT-2977,CNMC 2B,RnD,H3,,,
332,RT-2867,MyOme 11,Verso RSD,H3,23.5,,
333,RT-3115,CNMC 3A,RnD,H3,25.97,,
334,RT-3130,CNMC 3B,RnD,H3,22.7,,
335,RT-3219,CNMC 3C,RnD,H3,23.1,,
336,RT-3230,CNMC 3D,RnD,H3,22.4,,
