collaboration_id,updated_at,created_at,created_by,modified_by,cohort_name,cohort_description,collaboration_status,institution
5,2023-02-14 00:10:50.45169+00,2023-02-07 21:24:15.101339+00,Harry Zhou,,Invitae Cohort,Invitae Test Collaboration,In Progress,Invitae
6,2023-02-14 00:10:46.919483+00,2023-02-07 21:25:24.113107+00,Harry Zhou,,CNH Cohort,Test Cohort Description,In Progress,CNH
